Id,Count,Named,Original
ant,9,unamed,ant
apache-storm,9,unamed,apache-storm
jndi,9,unamed,jndi
eclipse-cdt,9,Android & Java Developers,Android & Java Developers
jvm-bytecode,9,unamed,jvm-bytecode
spring-integration,9,Android & Java Developers,Android & Java Developers
flatten,9,unamed,flatten
trigonometry,9,unamed,trigonometry
mockmvc,9,unamed,mockmvc
database-project,9,Database Developers,Database Developers
schema-compare,9,unamed,schema-compare
str-replace,9,unamed,str-replace
objectid,9,unamed,objectid
string-concatenation,9,unamed,string-concatenation
sql-like,9,Database Developers,Database Developers
remove,9,unamed,remove
xelatex,9,unamed,xelatex
laravel-routing,9,FrontEnd Developers,FrontEnd Developers
guzzle,9,unamed,guzzle
instagram-graph-api,9,unamed,instagram-graph-api
laravel-5.8,9,FrontEnd Developers,FrontEnd Developers
laravel-sail,9,FrontEnd Developers,FrontEnd Developers
wkhtmltopdf,9,FrontEnd Developers,FrontEnd Developers
api-doc,9,unamed,api-doc
elementwise-operations,9,unamed,elementwise-operations
pep8,9,unamed,pep8
flask-restplus,9,unamed,flask-restplus
faust,9,unamed,faust
urllib3,9,unamed,urllib3
max-pooling,9,unamed,max-pooling
jpeg,9,unamed,jpeg
finalizer,9,unamed,finalizer
binary-data,9,unamed,binary-data
matrix-indexing,9,unamed,matrix-indexing
numpy-ufunc,9,Python & R Developers,Python & R Developers
hexagonal-architecture,9,unamed,hexagonal-architecture
candlestick-chart,9,unamed,candlestick-chart
opencv4,9,unamed,opencv4
choropleth,9,unamed,choropleth
mysql-connector,9,Database Developers,Database Developers
mod-wsgi,9,unamed,mod-wsgi
notepad++,9,unamed,notepad++
adfs,9,unamed,adfs
equation,9,unamed,equation
series,9,unamed,series
drf-yasg,9,unamed,drf-yasg
pyautogui,9,unamed,pyautogui
timeserieschart,9,unamed,timeserieschart
reqwest,9,unamed,reqwest
eigenvalue,9,unamed,eigenvalue
coc.nvim,9,unamed,coc.nvim
svm,9,unamed,svm
magic-methods,9,unamed,magic-methods
rectangles,9,unamed,rectangles
hashlib,9,unamed,hashlib
hough-transform,9,unamed,hough-transform
dimensionality-reduction,9,unamed,dimensionality-reduction
onelogin,9,unamed,onelogin
concurrent.futures,9,unamed,concurrent.futures
google-translate,9,unamed,google-translate
encoder-decoder,9,unamed,encoder-decoder
boxplot,9,Python & R Developers,Python & R Developers
winsock,9,unamed,winsock
dft,9,unamed,dft
google-ai-platform,9,unamed,google-ai-platform
median,9,unamed,median
smote,9,unamed,smote
htop,9,unamed,htop
upsert,9,unamed,upsert
animated-gif,9,unamed,animated-gif
filepath,9,unamed,filepath
utc,9,unamed,utc
data-wrangling,9,unamed,data-wrangling
levenshtein-distance,9,unamed,levenshtein-distance
flask-jwt-extended,9,unamed,flask-jwt-extended
callable-object,9,unamed,callable-object
dummy-variable,9,unamed,dummy-variable
directx,9,unamed,directx
ms-media-foundation,9,unamed,ms-media-foundation
impersonation,9,unamed,impersonation
raii,9,unamed,raii
delete-operator,9,unamed,delete-operator
diamond-problem,9,unamed,diamond-problem
range-v3,9,unamed,range-v3
eigen3,9,unamed,eigen3
member-functions,9,C Developers,C Developers
minimum,9,unamed,minimum
dynamic-arrays,9,C Developers,C Developers
ctad,9,unamed,ctad
rvo,9,unamed,rvo
function-templates,9,C Developers,C Developers
compiler-flags,9,unamed,compiler-flags
numeric-limits,9,unamed,numeric-limits
generic-lambda,9,unamed,generic-lambda
doxygen,9,unamed,doxygen
fmt,9,unamed,fmt
utf-16,9,unamed,utf-16
quaternions,9,unamed,quaternions
freertos,9,unamed,freertos
luajit,9,unamed,luajit
juce,9,unamed,juce
sigfpe,9,unamed,sigfpe
misra,9,unamed,misra
musl,9,unamed,musl
compound-literals,9,unamed,compound-literals
linux-device-driver,9,C Developers,C Developers
file-descriptor,9,unamed,file-descriptor
c-standard-library,9,unamed,c-standard-library
newline,9,unamed,newline
osdev,9,unamed,osdev
tidymodels,9,unamed,tidymodels
ggpmisc,9,unamed,ggpmisc
sapply,9,unamed,sapply
gnu-parallel,9,unamed,gnu-parallel
oracle12c,9,Database Developers,Database Developers
parser-combinators,9,unamed,parser-combinators
mongorestore,9,unamed,mongorestore
mamp,9,unamed,mamp
django-migrations,9,Python & R Developers,Python & R Developers
dijkstra,9,unamed,dijkstra
gated-recurrent-unit,9,unamed,gated-recurrent-unit
clpfd,9,unamed,clpfd
ksh,9,unamed,ksh
sbcl,9,unamed,sbcl
amazon-kinesis-firehose,9,unamed,amazon-kinesis-firehose
vga,9,unamed,vga
bitmask,9,unamed,bitmask
micro-architecture,9,unamed,micro-architecture
sas,9,unamed,sas
thumbnails,9,unamed,thumbnails
css-purge,9,FrontEnd Developers,FrontEnd Developers
snapcraft,9,unamed,snapcraft
array-formulas,9,unamed,array-formulas
subnet,9,unamed,subnet
scala-collections,9,unamed,scala-collections
mysql-8.0,9,Database Developers,Database Developers
type-families,9,unamed,type-families
kustomize,9,unamed,kustomize
kubeadm,9,unamed,kubeadm
windows-server-2019,9,unamed,windows-server-2019
docker-buildkit,9,unamed,docker-buildkit
nfs,9,unamed,nfs
google-container-registry,9,unamed,google-container-registry
amd-gpu,9,unamed,amd-gpu
identifiable,9,unamed,identifiable
custom-view,9,unamed,custom-view
borrow-checker,9,unamed,borrow-checker
ownership,9,unamed,ownership
capybara,9,unamed,capybara
persistent-volumes,9,unamed,persistent-volumes
azure-service-fabric,9,unamed,azure-service-fabric
prism,9,unamed,prism
jsonconverter,9,FrontEnd Developers,FrontEnd Developers
azure-table-storage,9,unamed,azure-table-storage
asp.net-core-tag-helpers,9,unamed,asp.net-core-tag-helpers
azure-front-door,9,unamed,azure-front-door
sql-server-2019,9,Database Developers,Database Developers
video-encoding,9,unamed,video-encoding
com-interop,9,unamed,com-interop
visual-studio-2013,9,unamed,visual-studio-2013
github-issues,9,Version Control,Version Control
cd,9,unamed,cd
artifact,9,unamed,artifact
frame-rate,9,unamed,frame-rate
fixpoint-combinators,9,unamed,fixpoint-combinators
ocaml,9,unamed,ocaml
pointfree,9,unamed,pointfree
io-monad,9,unamed,io-monad
sicp,9,unamed,sicp
cassandra-3.0,9,unamed,cassandra-3.0
kql,9,unamed,kql
create-table,9,unamed,create-table
mtls,9,unamed,mtls
quota,9,unamed,quota
type-providers,9,unamed,type-providers
google-data-studio,9,unamed,google-data-studio
google-cloud-networking,9,unamed,google-cloud-networking
esb,9,unamed,esb
terraform-provider-azure,9,unamed,terraform-provider-azure
cro,9,unamed,cro
cobol,9,unamed,cobol
sql-server-2016,9,Database Developers,Database Developers
hive-metastore,9,unamed,hive-metastore
prettier-eslint,8,unamed,prettier-eslint
tinder,8,unamed,tinder
jamstack,8,unamed,jamstack
core-js,8,FrontEnd Developers,FrontEnd Developers
strict,8,unamed,strict
npm-publish,8,unamed,npm-publish
conflict,8,unamed,conflict
mousewheel,8,unamed,mousewheel
react-transition-group,8,unamed,react-transition-group
html-webpack-plugin,8,FrontEnd Developers,FrontEnd Developers
recharts,8,unamed,recharts
server-error,8,unamed,server-error
wordpress-gutenberg,8,FrontEnd Developers,FrontEnd Developers
web-vitals,8,unamed,web-vitals
vega,8,unamed,vega
gtag.js,8,FrontEnd Developers,FrontEnd Developers
pdfjs-dist,8,FrontEnd Developers,FrontEnd Developers
gatsby-image,8,unamed,gatsby-image
stenciljs,8,FrontEnd Developers,FrontEnd Developers
wordpress-rest-api,8,FrontEnd Developers,FrontEnd Developers
react-pdf,8,unamed,react-pdf
getboundingclientrect,8,unamed,getboundingclientrect
toolchain,8,unamed,toolchain
invisible-recaptcha,8,unamed,invisible-recaptcha
twitch,8,unamed,twitch
amplify,8,unamed,amplify
tinymce,8,unamed,tinymce
fadein,8,unamed,fadein
heroku-ci,8,Database Developers,Database Developers
get-display-media,8,unamed,get-display-media
html2canvas,8,FrontEnd Developers,FrontEnd Developers
long-polling,8,unamed,long-polling
credit-card,8,unamed,credit-card
helmet.js,8,FrontEnd Developers,FrontEnd Developers
esri,8,unamed,esri
anti-patterns,8,unamed,anti-patterns
asp-net-core-spa-services,8,unamed,asp-net-core-spa-services
clockkit,8,unamed,clockkit
reach-router,8,unamed,reach-router
infinite-scroll,8,unamed,infinite-scroll
expand,8,unamed,expand
owasp,8,unamed,owasp
autosuggest,8,unamed,autosuggest
vue-loader,8,unamed,vue-loader
ecma,8,unamed,ecma
capistrano,8,unamed,capistrano
webpack-encore,8,FrontEnd Developers,FrontEnd Developers
client-side-scripting,8,unamed,client-side-scripting
css-filters,8,FrontEnd Developers,FrontEnd Developers
google-maps-android-api-2,8,Android & Java Developers,Android & Java Developers
idfa,8,unamed,idfa
nsdiffabledatasourcesnapshot,8,unamed,nsdiffabledatasourcesnapshot
continuous-delivery,8,unamed,continuous-delivery
pencilkit,8,unamed,pencilkit
flutter-build,8,unamed,flutter-build
sha1,8,unamed,sha1
dsym,8,unamed,dsym
imagepicker,8,unamed,imagepicker
picture-in-picture,8,unamed,picture-in-picture
inputaccessoryview,8,unamed,inputaccessoryview
avspeechsynthesizer,8,unamed,avspeechsynthesizer
apple-appclips,8,Apple Developers,Apple Developers
pubnub,8,unamed,pubnub
uiactivityviewcontroller,8,unamed,uiactivityviewcontroller
nsdata,8,unamed,nsdata
chrome-custom-tabs,8,unamed,chrome-custom-tabs
promotion-code,8,unamed,promotion-code
phpicker,8,FrontEnd Developers,FrontEnd Developers
applet,8,Apple Developers,Apple Developers
cordova-ios,8,Apple Developers,Apple Developers
webspeech-api,8,unamed,webspeech-api
cldr,8,unamed,cldr
pcm,8,unamed,pcm
dateformatter,8,unamed,dateformatter
hashtag,8,unamed,hashtag
schedule,8,unamed,schedule
audiokit,8,unamed,audiokit
xcode-command-line-tools,8,Apple Developers,Apple Developers
build-tools,8,unamed,build-tools
uikeyboard,8,unamed,uikeyboard
glog,8,unamed,glog
yarn-v2,8,unamed,yarn-v2
git-husky,8,Version Control,Version Control
patch,8,unamed,patch
reset,8,unamed,reset
mean-stack,8,unamed,mean-stack
rfc,8,unamed,rfc
conda-forge,8,unamed,conda-forge
ng-bootstrap,8,FrontEnd Developers,FrontEnd Developers
buildpack,8,unamed,buildpack
hapijs,8,FrontEnd Developers,FrontEnd Developers
auto-generate,8,unamed,auto-generate
opus,8,unamed,opus
coinbase-api,8,unamed,coinbase-api
syslog,8,unamed,syslog
m4a,8,unamed,m4a
cloning,8,unamed,cloning
secure-context,8,unamed,secure-context
node-html-pdf,8,FrontEnd Developers,FrontEnd Developers
browser-automation,8,unamed,browser-automation
prisma,8,unamed,prisma
azure-cosmosdb-mongoapi,8,unamed,azure-cosmosdb-mongoapi
jimp,8,unamed,jimp
gradle-kts,8,Android & Java Developers,Android & Java Developers
semantic-versioning,8,unamed,semantic-versioning
adoptopenjdk,8,unamed,adoptopenjdk
sshfs,8,Version Control,Version Control
privileges,8,unamed,privileges
homestead,8,unamed,homestead
google-ads-api,8,unamed,google-ads-api
firebase-console,8,unamed,firebase-console
firebase-performance,8,unamed,firebase-performance
dialogflow-es-fulfillment,8,unamed,dialogflow-es-fulfillment
protobuf-java,8,Android & Java Developers,Android & Java Developers
google-iap,8,unamed,google-iap
one-time-password,8,unamed,one-time-password
flutter-channel,8,unamed,flutter-channel
margin,8,unamed,margin
flutter-state,8,unamed,flutter-state
stun,8,unamed,stun
android-native-library,8,Android & Java Developers,Android & Java Developers
socketexception,8,unamed,socketexception
google-fit,8,unamed,google-fit
flutter-image,8,unamed,flutter-image
minify,8,unamed,minify
dart-ffi,8,unamed,dart-ffi
android-contentprovider,8,Android & Java Developers,Android & Java Developers
screen-orientation,8,unamed,screen-orientation
singlechildscrollview,8,unamed,singlechildscrollview
activity-lifecycle,8,unamed,activity-lifecycle
getx,8,unamed,getx
add,8,unamed,add
angular-compiler,8,FrontEnd Developers,FrontEnd Developers
keyword,8,unamed,keyword
user-agent,8,unamed,user-agent
reference-type,8,unamed,reference-type
flask-wtforms,8,unamed,flask-wtforms
catamorphism,8,unamed,catamorphism
basic-authentication,8,unamed,basic-authentication
exif,8,unamed,exif
filereader,8,unamed,filereader
slickgrid,8,unamed,slickgrid
angular-cdk-drag-drop,8,FrontEnd Developers,FrontEnd Developers
pinchzoom,8,unamed,pinchzoom
webusb,8,unamed,webusb
with-statement,8,unamed,with-statement
eslint-config-airbnb,8,unamed,eslint-config-airbnb
react-native-video,8,unamed,react-native-video
reactivex,8,unamed,reactivex
smartcontracts,8,unamed,smartcontracts
powerbi-custom-visuals,8,unamed,powerbi-custom-visuals
velocity,8,unamed,velocity
refresh,8,unamed,refresh
discriminated-union,8,unamed,discriminated-union
sticky,8,unamed,sticky
elementor,8,unamed,elementor
mime,8,unamed,mime
value-type,8,unamed,value-type
rangeslider,8,unamed,rangeslider
turbolinks,8,unamed,turbolinks
date-formatting,8,unamed,date-formatting
owl-carousel,8,unamed,owl-carousel
v-model,8,unamed,v-model
aframe,8,unamed,aframe
private-key,8,unamed,private-key
delta,8,unamed,delta
hide,8,unamed,hide
show,8,unamed,show
google-docs,8,unamed,google-docs
numerical-integration,8,unamed,numerical-integration
adminlte,8,unamed,adminlte
single-threaded,8,unamed,single-threaded
intelephense,8,unamed,intelephense
finder,8,unamed,finder
google-chrome-os,8,unamed,google-chrome-os
xdebug-3,8,unamed,xdebug-3
python-black,8,Python & R Developers,Python & R Developers
pyright,8,unamed,pyright
jvm-arguments,8,unamed,jvm-arguments
launch,8,unamed,launch
flake8,8,unamed,flake8
textmate,8,unamed,textmate
karma-runner,8,unamed,karma-runner
angular-jit,8,FrontEnd Developers,FrontEnd Developers
query-builder,8,unamed,query-builder
angular5,8,FrontEnd Developers,FrontEnd Developers
infinite,8,unamed,infinite
angular-httpclient,8,FrontEnd Developers,FrontEnd Developers
googlesigninapi,8,unamed,googlesigninapi
build-variant,8,unamed,build-variant
hardware-acceleration,8,unamed,hardware-acceleration
dagger,8,unamed,dagger
android-appcompat,8,Android & Java Developers,Android & Java Developers
graphql-java,8,Android & Java Developers,Android & Java Developers
android-youtube-api,8,Android & Java Developers,Android & Java Developers
uvc,8,unamed,uvc
android-fileprovider,8,Android & Java Developers,Android & Java Developers
android-deep-link,8,Android & Java Developers,Android & Java Developers
samsung-galaxy,8,unamed,samsung-galaxy
maven-publish,8,Android & Java Developers,Android & Java Developers
android-tablayout,8,Android & Java Developers,Android & Java Developers
xiaomi,8,unamed,xiaomi
mediabrowserservice,8,unamed,mediabrowserservice
aapt,8,unamed,aapt
android-min-sdk,8,Android & Java Developers,Android & Java Developers
android-accessibility,8,Android & Java Developers,Android & Java Developers
android-database,8,Android & Java Developers,Android & Java Developers
docx,8,unamed,docx
android-paging-3,8,Android & Java Developers,Android & Java Developers
image-rotation,8,unamed,image-rotation
android-darkmode,8,Android & Java Developers,Android & Java Developers
image-capture,8,unamed,image-capture
microphone,8,unamed,microphone
buildozer,8,unamed,buildozer
huawei-developers,8,unamed,huawei-developers
android-management-api,8,Android & Java Developers,Android & Java Developers
simpledateformat,8,unamed,simpledateformat
uri,8,unamed,uri
string-length,8,unamed,string-length
viewmodel-savedstate,8,unamed,viewmodel-savedstate
onresume,8,unamed,onresume
dao,8,unamed,dao
rate,8,unamed,rate
dllexport,8,unamed,dllexport
httpserver,8,unamed,httpserver
jitsi-meet,8,unamed,jitsi-meet
gallery,8,unamed,gallery
android-fullscreen,8,Android & Java Developers,Android & Java Developers
dimension,8,unamed,dimension
bing-maps,8,unamed,bing-maps
media,8,unamed,media
java.util.concurrent,8,Android & Java Developers,Android & Java Developers
projection,8,unamed,projection
preview-feature,8,unamed,preview-feature
exit,8,unamed,exit
postgresql-11,8,Database Developers,Database Developers
protoc,8,unamed,protoc
drools,8,unamed,drools
low-latency,8,unamed,low-latency
audit,8,unamed,audit
postgresql-13,8,Database Developers,Database Developers
spring-data-rest,8,Android & Java Developers,Android & Java Developers
subtyping,8,unamed,subtyping
autoboxing,8,unamed,autoboxing
jmeter,8,unamed,jmeter
datetime-format,8,unamed,datetime-format
azure-queues,8,unamed,azure-queues
checkstyle,8,unamed,checkstyle
jacoco-maven-plugin,8,Android & Java Developers,Android & Java Developers
logback,8,unamed,logback
long-integer,8,unamed,long-integer
apache-tika,8,unamed,apache-tika
elasticsearch-7,8,unamed,elasticsearch-7
akka-stream,8,unamed,akka-stream
ehcache-3,8,unamed,ehcache-3
weld,8,unamed,weld
mergesort,8,unamed,mergesort
google-api-java-client,8,Android & Java Developers,Android & Java Developers
tomcat8,8,unamed,tomcat8
boxing,8,unamed,boxing
spring-data-elasticsearch,8,Android & Java Developers,Android & Java Developers
guava,8,unamed,guava
resilience4j,8,unamed,resilience4j
maven-3,8,Android & Java Developers,Android & Java Developers
cxf,8,unamed,cxf
rollback,8,unamed,rollback
network-interface,8,unamed,network-interface
bubble-sort,8,unamed,bubble-sort
biginteger,8,unamed,biginteger
macbookpro-touch-bar,8,unamed,macbookpro-touch-bar
static-polymorphism,8,unamed,static-polymorphism
elk,8,unamed,elk
heap-dump,8,unamed,heap-dump
spring-reactive,8,Android & Java Developers,Android & Java Developers
spring-autoconfiguration,8,Android & Java Developers,Android & Java Developers
jena,8,unamed,jena
ejb,8,unamed,ejb
cucumber-junit,8,unamed,cucumber-junit
shutdown,8,unamed,shutdown
java-ee-8,8,Android & Java Developers,Android & Java Developers
synchronized,8,unamed,synchronized
activemq-artemis,8,unamed,activemq-artemis
openshift-origin,8,unamed,openshift-origin
dst,8,unamed,dst
indicator,8,unamed,indicator
web-api-testing,8,unamed,web-api-testing
parent,8,unamed,parent
executable-jar,8,unamed,executable-jar
jenkins-declarative-pipeline,8,Python & R Developers,Python & R Developers
efs,8,unamed,efs
re,8,unamed,re
recursive-query,8,unamed,recursive-query
custom-wordpress-pages,8,FrontEnd Developers,FrontEnd Developers
jwilder-nginx-proxy,8,unamed,jwilder-nginx-proxy
magento2,8,unamed,magento2
facebook-php-sdk,8,FrontEnd Developers,FrontEnd Developers
mysqli,8,Database Developers,Database Developers
aws-php-sdk,8,FrontEnd Developers,FrontEnd Developers
categories,8,unamed,categories
dompdf,8,unamed,dompdf
guzzle6,8,unamed,guzzle6
fractals,8,unamed,fractals
kaniko,8,unamed,kaniko
runner,8,unamed,runner
gitlab-api,8,Version Control,Version Control
mysql-python,8,Database Developers,Database Developers
jsonparser,8,FrontEnd Developers,FrontEnd Developers
dataflow,8,unamed,dataflow
pep517,8,unamed,pep517
python-module,8,Python & R Developers,Python & R Developers
floating-accuracy,8,unamed,floating-accuracy
toml,8,unamed,toml
marshmallow,8,unamed,marshmallow
image-preprocessing,8,unamed,image-preprocessing
lightgbm,8,unamed,lightgbm
mplfinance,8,unamed,mplfinance
subplot,8,Python & R Developers,Python & R Developers
pty,8,unamed,pty
autocad,8,unamed,autocad
cartopy,8,unamed,cartopy
shopify-api,8,unamed,shopify-api
fuzzy-search,8,unamed,fuzzy-search
random-forest,8,unamed,random-forest
pyo3,8,unamed,pyo3
pyserial,8,unamed,pyserial
urllib,8,unamed,urllib
nvidia-jetson-nano,8,unamed,nvidia-jetson-nano
read-eval-print-loop,8,unamed,read-eval-print-loop
percentile,8,unamed,percentile
zipfile,8,unamed,zipfile
data-mapping,8,unamed,data-mapping
mfcc,8,unamed,mfcc
rpy2,8,unamed,rpy2
traveling-salesman,8,unamed,traveling-salesman
paramiko,8,unamed,paramiko
pseudo-element,8,unamed,pseudo-element
arima,8,unamed,arima
coreclr,8,unamed,coreclr
activation-function,8,C Developers,C Developers
decision-tree,8,unamed,decision-tree
quantization,8,unamed,quantization
pycryptodome,8,unamed,pycryptodome
reproducible-research,8,unamed,reproducible-research
image-recognition,8,unamed,image-recognition
aws-ssm,8,unamed,aws-ssm
graphframes,8,unamed,graphframes
rows,8,unamed,rows
aws-batch,8,unamed,aws-batch
django-authentication,8,Python & R Developers,Python & R Developers
smtplib,8,unamed,smtplib
metaclass,8,unamed,metaclass
google-speech-to-text-api,8,unamed,google-speech-to-text-api
task-queue,8,unamed,task-queue
ibm-cloud,8,unamed,ibm-cloud
exec,8,unamed,exec
pydev,8,unamed,pydev
modulenotfounderror,8,unamed,modulenotfounderror
filenotfoundexception,8,unamed,filenotfoundexception
pysftp,8,unamed,pysftp
color-palette,8,unamed,color-palette
telethon,8,unamed,telethon
ngrok,8,unamed,ngrok
serversocket,8,unamed,serversocket
point-clouds,8,unamed,point-clouds
stargazer,8,unamed,stargazer
django-rest-framework-simplejwt,8,Python & R Developers,Python & R Developers
flip,8,unamed,flip
valueerror,8,unamed,valueerror
pseudocode,8,unamed,pseudocode
in-place,8,unamed,in-place
tfrecord,8,unamed,tfrecord
covariance-matrix,8,unamed,covariance-matrix
argparse,8,unamed,argparse
control-flow,8,unamed,control-flow
repr,8,unamed,repr
edges,8,unamed,edges
jitter,8,unamed,jitter
gtk3,8,unamed,gtk3
cdo-climate,8,unamed,cdo-climate
precision-recall,8,unamed,precision-recall
chi-squared,8,unamed,chi-squared
matplotlib-widget,8,Python & R Developers,Python & R Developers
gspread,8,unamed,gspread
database-trigger,8,Database Developers,Database Developers
knowledge-graph,8,unamed,knowledge-graph
fasttext,8,unamed,fasttext
brotli,8,unamed,brotli
weighted-average,8,unamed,weighted-average
approximation,8,unamed,approximation
pyviz,8,unamed,pyviz
arduino-ide,8,unamed,arduino-ide
fzf,8,unamed,fzf
microsoft-account,8,unamed,microsoft-account
smb,8,unamed,smb
c++builder,8,C Developers,C Developers
32bit-64bit,8,unamed,32bit-64bit
libc++,8,C Developers,C Developers
std-function,8,C Developers,C Developers
compiler-explorer,8,unamed,compiler-explorer
condition-variable,8,unamed,condition-variable
compile-time-constant,8,unamed,compile-time-constant
rtools,8,unamed,rtools
placement-new,8,unamed,placement-new
vcpkg,8,unamed,vcpkg
variable-length-array,8,unamed,variable-length-array
wait-free,8,unamed,wait-free
size-t,8,unamed,size-t
consteval,8,unamed,consteval
winappdriver,8,unamed,winappdriver
concept,8,unamed,concept
std-filesystem,8,unamed,std-filesystem
width,8,unamed,width
name-hiding,8,unamed,name-hiding
forward-declaration,8,unamed,forward-declaration
precompile,8,unamed,precompile
marshalling,8,unamed,marshalling
sanitizer,8,unamed,sanitizer
numerical-methods,8,unamed,numerical-methods
function-definition,8,C Developers,C Developers
member-function-pointers,8,C Developers,C Developers
class-design,8,unamed,class-design
memory-segmentation,8,unamed,memory-segmentation
glm-math,8,unamed,glm-math
if-constexpr,8,unamed,if-constexpr
hal,8,unamed,hal
textures,8,unamed,textures
compare-and-swap,8,unamed,compare-and-swap
gamma-function,8,C Developers,C Developers
iso-prolog,8,unamed,iso-prolog
interrupt-handling,8,unamed,interrupt-handling
persistent-memory,8,unamed,persistent-memory
68000,8,unamed,68000
gnat,8,unamed,gnat
cs50,8,unamed,cs50
do-while,8,unamed,do-while
darwin,8,unamed,darwin
gganimate,8,unamed,gganimate
lubridate,8,unamed,lubridate
across,8,unamed,across
lme4,8,unamed,lme4
formula,8,unamed,formula
broom,8,unamed,broom
dt,8,unamed,dt
rbind,8,unamed,rbind
roxygen2,8,unamed,roxygen2
rstanarm,8,unamed,rstanarm
kableextra,8,unamed,kableextra
keras-layer,8,unamed,keras-layer
oracle11g,8,Database Developers,Database Developers
mongodump,8,unamed,mongodump
dns-sd,8,unamed,dns-sd
tmux,8,unamed,tmux
unity3d-unet,8,unamed,unity3d-unet
vcr,8,unamed,vcr
navigationlink,8,unamed,navigationlink
alternative-functor,8,unamed,alternative-functor
vertical-scrolling,8,unamed,vertical-scrolling
unhandled-exception,8,unamed,unhandled-exception
gpio,8,unamed,gpio
meta,8,unamed,meta
fallback,8,unamed,fallback
asp.net-mvc-5,8,unamed,asp.net-mvc-5
nvidia-docker,8,unamed,nvidia-docker
tar,8,unamed,tar
highdpi,8,unamed,highdpi
libvirt,8,unamed,libvirt
case,8,unamed,case
windows-container,8,unamed,windows-container
datagrip,8,unamed,datagrip
strictness,8,unamed,strictness
excel-addins,8,unamed,excel-addins
sap,8,unamed,sap
docker-for-mac,8,unamed,docker-for-mac
daphne,8,unamed,daphne
helmfile,8,unamed,helmfile
openstack,8,unamed,openstack
ruby-on-rails-5.2,8,Ruby Developers,Ruby Developers
elasticsearch-x-pack,8,unamed,elasticsearch-x-pack
spring-restcontroller,8,Android & Java Developers,Android & Java Developers
cross-entropy,8,unamed,cross-entropy
eventstoredb,8,Database Developers,Database Developers
kubernetes-go-client,8,unamed,kubernetes-go-client
dead-letter,8,unamed,dead-letter
queuetrigger,8,unamed,queuetrigger
amazon-linux-2,8,C Developers,C Developers
postgresql-9.1,8,Database Developers,Database Developers
dyalog,8,unamed,dyalog
spi,8,unamed,spi
firmware,8,unamed,firmware
adx,8,unamed,adx
alpha,8,unamed,alpha
smalltalk,8,unamed,smalltalk
csvhelper,8,unamed,csvhelper
add-on,8,unamed,add-on
idisposable,8,unamed,idisposable
ado.net,8,unamed,ado.net
swashbuckle.aspnetcore,8,unamed,swashbuckle.aspnetcore
microsoft-identity-platform,8,unamed,microsoft-identity-platform
asp.net-web-api2,8,unamed,asp.net-web-api2
fluentvalidation,8,unamed,fluentvalidation
jwk,8,unamed,jwk
clr,8,unamed,clr
secretsmanager,8,unamed,secretsmanager
blazored,8,unamed,blazored
forms-authentication,8,unamed,forms-authentication
vue-apollo,8,unamed,vue-apollo
google-cloud-endpoints,8,unamed,google-cloud-endpoints
swagger-3.0,8,unamed,swagger-3.0
distinct,8,unamed,distinct
inno-setup,8,unamed,inno-setup
deriving,8,unamed,deriving
gnuplot,8,Python & R Developers,Python & R Developers
aws-code-deploy,8,unamed,aws-code-deploy
aws-security-group,8,unamed,aws-security-group
etcd,8,unamed,etcd
doobie,8,unamed,doobie
postgresql-performance,8,Database Developers,Database Developers
sql-null,8,Database Developers,Database Developers
idempotent,8,unamed,idempotent
google-cloud-monitoring,8,unamed,google-cloud-monitoring
raft,8,unamed,raft
kubernetes-deployment,8,unamed,kubernetes-deployment
rspec-rails,8,unamed,rspec-rails
windows-server-2012-r2,8,unamed,windows-server-2012-r2
powerbi-desktop,8,unamed,powerbi-desktop
citrix,8,unamed,citrix
typo3-9.x,8,unamed,typo3-9.x
ruby-2.7,8,Ruby Developers,Ruby Developers
google-apps-marketplace,8,unamed,google-apps-marketplace
asp.net-authorization,8,unamed,asp.net-authorization
cats-effect,8,unamed,cats-effect
tableau-api,8,unamed,tableau-api
matlab-figure,8,unamed,matlab-figure
tpm,8,unamed,tpm
exists,8,unamed,exists
netlogo,8,unamed,netlogo
ado,8,unamed,ado
logic-programming,8,unamed,logic-programming
azure-sqldw,8,Database Developers,Database Developers
oledb,8,unamed,oledb
org-mode,8,unamed,org-mode
delphi-10.3-rio,8,unamed,delphi-10.3-rio
exchange-server,8,unamed,exchange-server
postman-collection-runner,7,unamed,postman-collection-runner
sanity,7,unamed,sanity
redux-form,7,FrontEnd Developers,FrontEnd Developers
gsap,7,unamed,gsap
react-forwardref,7,unamed,react-forwardref
react-virtualized,7,unamed,react-virtualized
react-native-testing-library,7,unamed,react-native-testing-library
typescript3.0,7,FrontEnd Developers,FrontEnd Developers
reactstrap,7,unamed,reactstrap
software-quality,7,unamed,software-quality
react-lazy-load,7,unamed,react-lazy-load
redux-middleware,7,FrontEnd Developers,FrontEnd Developers
react-native-image-picker,7,unamed,react-native-image-picker
jss,7,FrontEnd Developers,FrontEnd Developers
reducers,7,unamed,reducers
react-native-maps,7,unamed,react-native-maps
react-native-gesture-handler,7,unamed,react-native-gesture-handler
cytoscape.js,7,FrontEnd Developers,FrontEnd Developers
react-final-form,7,unamed,react-final-form
server-side,7,unamed,server-side
elmish,7,unamed,elmish
touch,7,unamed,touch
react-table-v7,7,unamed,react-table-v7
twilio-programmable-chat,7,unamed,twilio-programmable-chat
next-auth,7,unamed,next-auth
flatpickr,7,unamed,flatpickr
