Tags,Meaning
nuxtjs,
qmenu,"The QMenu class, part of the Qt framwork, provides a menu widget for use in menu bars, context menus, and other popup menus."
gspread,gspread is a Python library for interacting with Google Spreadsheets.
command-line,"A command line is a string given to a command interpreter that tells it actions to take, such as running programs or copying files. The interpreter processes command lines with escapes and substitutions.  "
preventdefault,"Javascript event method to cancel the event if it is cancelable, without stopping further propagation of the event."
dependency-parsing,
switch-expression,In C# and Java switch expressions are an alternative to the switch statement that returns a value. 
resourcedictionary,"Provides a hash table / dictionary implementation that contains resources - reusable objects (e.g. vector drawings, brushes, colors, control template, data templates etc.) used by application components."
softmax,"Use this tag for programming-related questions about the softmax function, also known as the normalized exponential function. Questions specific to a certain programming language should also be tagged with that language."
java-heap,
asp.net-core-razor-pages,"Use this tag for questions specifically related to ASP.NET Core Razor Pages, in addition to using the &#39;ASP.NET Core&#39; tag."
mobx-state-tree,mobx-state-tree is a state container for javascript apps that is powered by Mobx
d3.js,"D3.js is a JavaScript library for creating interactive data-bound visualisations of documents using HTML, SVG, and Canvas."
safari,"Safari is Apple&#39;s web browser, the default browser on macOS and iOS."
service-node-port-range,
web-config,web.config is an XML file that stores the main settings and configuration files for an IIS server. 
angular-cache,angular-cache is a very useful replacement for Angular&#39;s $cacheFactory. 
react-css-modules,"Questions about react-css-modules, a higher-order React component that abstracts CSS Modules integration."
google-apps-script,"Use for questions about Google Apps Script, Google&#39;s JavaScript-based cloud scripting platform for automating tasks across Google products and third-party services. Use in addition to relevant product-specific (e.g. [google-sheets], [google-docs]) or API-specific (e.g. [google-drive-api]) tags where applicable"
gpt,GPT is an ad tagging library with which you can dynamically build ad requests.
mpi,"MPI is the Message Passing Interface, a library for distributed memory parallel programming and the de facto standard method for using distributed memory clusters for high-performance technical computing.  Questions about using MPI for parallel programming go under this tag; questions on, eg, installation problems with MPI implementations are best tagged with the appropriate implementation-specific tag, eg MPICH or OpenMPI."
ngrx-effects,Use this tag for questions related to the effects package of the ngrx platform.
spring-mvc,A framework for building Java web applications based on the Model-View-Controller (MVC) pattern. It promotes flexible and decoupled code from the underlying view technologies.
behaviorsubject,"Use this tag for questions related to a BehaviorSubject, which represents a value that changes over time."
deferred-execution,
isr,"Interrupt Service Routine, also known as Interrupt Handler, is a callback subroutine in microcontroller firmware, operating system or device driver whose execution is triggered by the reception of an interrupt. Interrupt handlers have a multitude of functions, which vary based on the reason the interrupt was generated and the speed at which the interrupt handler completes its task."
vue-reactivity,"Questions about vue&#39;s reactivity, which is all about auto updating arrays and object properties when changed."
distribution,"This tag concerns statistical distributions, their implementations, and properties."
amazon-elasticache,"Amazon ElastiCache is a web service that makes it easy to deploy, operate, and scale an in-memory cache in the cloud. Amazon ElastiCache improves the performance of web applications by allowing you to retrieve information from a fast, managed, in-memory caching system. The service simplifies and offloads the management, monitoring and operation of in-memory cache environments, enabling your engineering resources to focus on developing applications."
scheduled-tasks,A scheduled task is a computer task that is scheduled to happen at a certain time and may repeat.
fetch-mock,"fetch-mock allows mocking HTTP requests made using fetch, or any one of the many libraries imitating its api such as isomorphic-fetch, node-fetch and fetch-ponyfill."
laravel-4,"Laravel 4.2 is the previous version of the open-source PHP web development MVC framework created by Taylor Otwell. Laravel helps you create applications using simple, expressive syntax."
worker-thread,
boilerplate,"In computer programming, boilerplate is the term used to describe sections of code that have to be included in many places with little or no alteration. It is more often used when referring to languages which are considered verbose, i.e. the programmer must write a lot of code to do minimal jobs."
adjacency-list,"An adjacency list is a representation of a graph, a collection of unordered lists, one for each vertex in the graph."
scheme,"Scheme is a functional programming language in the Lisp family, closely modeled on lambda calculus with eager (applicative order) evaluation. FOR questions about URL schemes PLEASE use the tag &quot;URL-scheme&quot;."
jquery-select2,"Select2 is a jQuery-based replacement for select boxes. It supports searching, remote data sets, and infinite scrolling of results."
mergesort,Merge sort is an O(n log n) worst-case comparison-based stable sorting algorithm.
nimbus-jose-jwt,
quantmod,"quantmod is a package for R designed to assist quantitative traders in the development, testing, and deployment of statistically based trading models. "
intervention,"Intervention Image is an open source PHP image handling and manipulation library. It provides an easier and expressive way to create, edit, and compose images and currently supports the two most common image processing libraries GD Library and Imagick."
paseto,
quasar-framework,"Questions regarding the Quasar framework, with which you can build responsive websites, PWAs, hybrid mobile Apps (that look native!) and Electron apps using the same code, powered with Vue."
controlvalueaccessor,
android-menu,"Questions regarding designing, implementing and handling menus and action bars in Android. A menu is a user accessible list of commands that typically provide additional functionality that may not be core to the generally displayed user interface."
ecmascript-2020,"ECMAScript 2020 (ES2020) is the 11th version of the ECMAScript language. It adds many important new features, including dynamic imports, globalThis, optional chaining, arbitrary precision BigInts and Promise.allSettled. Only use this tag where the question specifically relates to new features or technical changes provided in ECMAScript 2020."
large-title,
visual-c++,"Microsoft Visual C++ is a C, C++ and C++/CLI compiler for Windows. The most recent version of the compiler is Visual C++ 2019.

The compiler supports the following languages:

C (supports C90 and most of C99 and C11 parts of the ISO C++ standard as of Visual Studio 2019);

C++ (support for most C++11, C++14 and C++17 features and some C++20 features as of Visual Studio 2019)

C++/CLI (Provide interoperability with .NET languages like C#)."
ntlm-authentication,"In a Windows network, NT LAN Manager (NTLM) is a suite of Microsoft security protocols that provides authentication, integrity, and confidentiality to users. NTLM is the successor to the authentication protocol in Microsoft LAN Manager (LANMAN), an older Microsoft product."
office-js,"OfficeJS is the new JavaScript extensibility model for Microsoft Office client applications. You can extend Office applications that run on Windows, web, iOS, and the Mac. This model is applicable to Office client applications starting with Office 2013. Please read the tag info for additional guidance on how to increase the chance that you&#39;ll get a high quality answer to your questions."
sift,Scale-invariant feature transform (SIFT) is an algorithm in computer vision to detect and describe local features in images. This tag is for programming questions related to SIFT implementation or programs that use SIFT algorithm for computer vision applications.
custom-training,
uiresponder,"The UIResponder class defines an interface for objects that respond to and handle events. It is the superclass of UIApplication, UIView and its subclasses (which include UIWindow). Instances of these classes are sometimes referred to as responder objects or, simply, responders."
apple-musickit,The MusicKit framework allows iOS apps to play a user&#39;s Apple Music &amp; local music.
fastboot,fastboot is a tool that comes with the Android SDK. It can be used to manipulate the partitions of your Android device when booted into the bootloader. DO NOT USE this tag for Ember FastBoot related questions.
lerna,Lerna is a tool designed to help develop JavaScript projects in a single git repo containing multiple related npm packages.
multi-instance-deployment,
vundle,a plug-in manager for the Vim text editor.
quadtree,A quadtree is a geometric data structure for storing points in two-dimensional space.  Quadtrees recursively partition a space into four quadrants.
magento,General Magento questions (like administration) may be asked on https://magento.stackexchange.com Magento is an e-commerce platform written in PHP. Questions should be related to writing code for Magento. 
cfnetwork,Network framework in the core services for iOS &amp; Mac OS X
headless-cms,
cvpixelbuffer,
access-control,Access control is the process of limiting the access of ability of users or services to certain resources.
invokedynamic,
dapper-contrib,"Dapper.Contrib contains a number of helper methods for inserting, getting, updating and deleting records."
inline-variable,
jupyter-console,The Jupyter console is a terminal front-end for kernels using the Jupyter protocol. Jupyter console versions 4.0 to 5.0 are currently in use.
git-subrepo,"git-subrepo command &quot;clones&quot; an external git repo into a subdirectory of your repo. Later on, upstream changes can be pulled in, and local changes can be pushed back."
skip,"Skipping is a construct that manipulates iteration (for, while, do-while)."
rdkit,RDKit is a popular open-source library for chemoinformatics and machine learning applied to chemoinformatics.
substratevm,Substrate VM is a framework that allows ahead-of-time (AOT) compilation of Java applications under closed-world assumption into executable images or shared objects (ELF-64 or 64-bit Mach-O).
query-string,"The part of a URL after the ? (question mark), containing parameter=value pairs separated by &amp; (ampersand). In a request made to a web application at a particular URL, the parameter+value data in the query string is parsed/consumed by the web application on the backend that receives the request."
gcc,"GCC is the GNU Compiler Collection. It&#39;s the de facto standard compiler for C, C++, Go, Fortran, and Ada on Linux and supports many other languages and platforms as well."
google-chrome-console,The Console of the Google Chrome browser is part of it&#39;s developer tools and debugger. Use this tag when asking questions about the Console API and it&#39;s usage.
richtextbox,"The RichTextBox control allows to display or edit RTF (Rich Text Format) content, which may include formatted paragraphs, hyperlinks, and inline images."
ccl,Clozure CL (CCL) is a Common Lisp implementation.
pandoc-citeproc,Pandoc filter and Haskell library for working with bibliographies.
visual-studio-mac,"Visual Studio for Mac is an IDE from Microsoft for Mac users. Use this tag if you have a specific question about Visual Studio for Mac features and functionality, not just a question regarding your code. Please mention your exact macOS version, VS for Mac version, Mono version and Xamarin runtime versions when applicable. Information such as Xcode and Android SDK versions are also useful."
nextcloud,Nextcloud is an open-source software suite that provides a location-independent storage area for data (cloud storage).
ecdh,
blazored,Libraries and Components designed for Microsoft&#39;s Blazor Framework
clojure-java-interop,For topics related to interoperability between Clojure and Java
ebpf,"eBPF (from “extended Berkeley Packet Filter”) is a subsystem introduced in Linux and allowing to load user programs into the kernel, to verify them for safety, possibly to JIT (Just-In-Time) compile them, and to attach them to hook points, where they run on certain events. eBPF&#39;s performance and flexibility make it suitable for a wide range of use cases, the most prominent being network packet processing, system monitoring, and security enforcement."
apache-camel,Apache Camel is an open source integration framework that focuses on quick and easy integration of  systems consuming or producing data.
android-biometric,
spreadjs,"SpreadJS is a comprehensive spreadsheet component for JavaScript.  Powerful Excel Formula support, tables, data visualization, charts and more..."
xilinx,Xilinx is a major brand of Field Programmable Gate Arrays (FPGA) and CPLDs (Complex Programmable Logic Devices)
geom-col,"Part of the `ggplot2` library for R, `geom_col` is a chart type using columns to represent data."
readxl,"an R package that can be used to import Excel (.xls and .xlsx) files into R
"
linux-containers,Linux containers (LXC) is an operating system–level virtualization method for running multiple isolated Linux systems (containers) on a single control host.
kubernetes-cluster,
browserify,Browserify is a tool that packages Node.js modules for a web browser.
interactive-brokers,"A popular electronic trading platform, supporting API through Java, C++, C#, VB, Python 3, and Excel. "
functional-programming,"Functional programming is a programming paradigm based upon building abstractions using functions, avoiding side effects and change of state. Pure functional programming is thread-safe."
email-validation,"Email validation is the process of deciding whether a given string is a valid email-address or not. This is distinct from email verification, which is necessary to determine if a given email address really exists, and (usually) whether a particular person has access to it (e.g. during an account signup process)."
tableview,A table view is a means for displaying and editing hierarchical lists of information. For example: UITableView in Cocoa Touch.
applozic,Applozic is a Chat &amp; Messaging SDK for your MOBILE and WEB apps
safari-extension,"A legacy API  to extend Apple&#39;s Safari web browser. As of Safari 14/MacOS 11, a framework named Safari Web Extension implements the standard browser extension APIs. Safari App Extensions, introduced with MacOS 10.12 (&quot;Sierra&quot;), is aimed at integration of native applications with the browser."
geography,"Geography is the science that deals with the study of the Earth and its lands, features, inhabitants, and phenomena."
concave,"Anything related to concave geometric shapes. A geometric shape, by definition, is concave if it is not convex. A shape in an Euclidean space is convex if, given two points A and B, every point of the segment AB belongs to the shape, i.e. AB is a subset of the shape."
forgot-password,"This tag refers to a situation in which you cannot access a protected system, file, database, etc. you would normally have access to because you cannot remember the password used to protect it."
fuzzywuzzy,FuzzyWuzzy is a Python package to perform fuzzy string matching.
storage,"Details on how data is being kept in memory/on disks, most frequently being applied to databases, media banks and backup-recovery solutions."
service-worker,"A service worker is JavaScript code that, once registered with an associated origin and scope, will respond to browser-initiated events, even when the pages it controls are no longer open.

By handling `fetch` events, service workers can provide custom network behavior, like offline support (via the Cache API).

By handling `push` events, service workers can be &quot;woken up&quot; and display notifications."
external,"This tag refers to something that is outside of a particular system.  In other words, it is something that is not a part of the main system and therefore can be considered &quot;extra&quot;."
outputstream,An abstract mechanism for writing data to a stream in Java and C#
hiveql,Variant of SQL used in the Apache Hive data warehouse infrastructure.  Use this tag for questions related to the Hive Query Language including HiveQL syntax and HiveQL-specific functions.
pulp,PuLP is a linear programming module for Python.
unique-constraint,Unique-constraint is an index that sets one or multiple fields to be unique in a data entity
flickity,"JS/CSS library to create touch, responsive, flickable galleries."
jwt-auth,JSON Web Token (JWT) is an open standard that defines a compact and self-contained way for securely transmitting information between parties as a JSON object. Authorisation is the most common scenario for using JWT.
single-page-application,A single-page application (SPA) is a web application that fits on a single web page with the goal of providing a more fluid user experience akin to a desktop application.
money-rails,money-rails provides integration of the money gem with Ruby on Rails.
fciv,The File Checksum Integrity Verifier (FCIV) is a utility from Microsoft for checking hashes of files.
glimpse,"What Firebug is for the client, Glimpse does for the server... in other words, a client side Glimpse into what&#39;s going on in your ASP.NET server."
autopep8,autopep8 automatically formats Python code to conform to the PEP 8 style guide.
constraint-kinds,Use this tag for asking question related to Constraint Kind or/and ConstraintKinds GHC extension.
uuid,"A UUID (Universally Unique IDentifier) is an identifier that is created with the intent of being, as the name suggests, universally unique."
query-builder,A query-builder is a set of classes and methods  that is able to programmatically build queries.
installation,"Installation (or setup) is the process of deploying an application, driver, plugin, etc. onto a device for future execution and use."
lipo,`lipo` command available in `OSX` that creates or operates on multi-architecture files. 
field-names,
chef-infra,Chef Infra (formerly just Chef) is a DevOps tool for scripting server configurations in Ruby (called cookbooks). Questions should pertain to the Ruby portions of coding. General DevOps questions may be asked on https://devops.stackexchange.com
quic,QUIC (pronounced quick) is a multiplexed stream transport protocol over UDP. It is a transport level network protocol designed at Google. The tag applies to questions related to the protocol and its implementations such as libquic. QUIC is an acronym for Quick UDP Internet Connections.
common-data-service,"The Common Data Service for Apps, is a data store that&#39;s used by business applications such as 
Dynamics 365 and was created by Microsoft. 

Common Data Service for Apps questions on working with data, creating process designer extensions, or creating Windows client applications should use this tag in addition to tags for the business application and/or the framework (ie: .NET SDK)."
export-to-csv,"A set of techniques to write a CSV (Comma-Separated Values) file from a data source. CSV files store data in plain-text form, allowing great usability and they often are used as a way to exchange data from information systems"
android-auto,A system and associated APIs for enabling display of Android apps on vehicle head units. 
flannel,"flannel (originally rudder) is an etcd backed network fabric for containers, an overlay network that gives a subnet to each machine for use with Kubernetes"
set-intersection,The intersection of two or more sets consists of the elements that those sets all have in common.
readr,readr is an R package that provides a fast and friendly way to read tabular data.
vscode-debugger,The Visual Studio Code debugger allows the developer to find errors in a program by pausing and inspecting the code.
projects-and-solutions,"Some IDEs organize code and resources into projects and solutions, usually in a directory-based hierarchy. This can also be done manually."
flying-saucer,"Flying Saucer (also called XHTML renderer) is a pure Java library for rendering XML, XHTML, and CSS 2.1 content."
template-toolkit,"The Template Toolkit is a fast, flexible and, highly extensible template processing system for Perl. There are also Python and JavaScript implementations."
pygame-surface,pygame object for representing images. Use this tag only if you are using the pygame library and not if you have a question about programming a game in python in general.
buildozer,Buildozer is a tool for creating application packages easily.
mysql-error-2002,Can&#39;t connect to local MySQL server through socket
pascal,Pascal is an imperative language from the Wirthian family created in 1969. It was widely used in engineering and teaching in the 1970s and 1980s. It lives on in compilers as Free Pascal and Delphi.
observable,"An observable is typically a programming construct that can be &quot;watched&quot; by other parts of the code, called the &quot;observers&quot;. Different frameworks and programming languages have different implementations for observables, so this tag should typically be used in conjunction with others."
mixed-content,HTTPS page that includes content retrieved through cleartext HTTP
google-cast,"Questions related to the Google Cast screen-sharing technology. Includes questions about creating a Receiver (a HTML5/JS/CSS3) app that runs on the Chromecast device, and about creating a Sender on their Chrome browser and / or iOS and Android devices."
filepath,"File path, specifies a unique location in a file system."
angular-cli-v8,Angular CLI v8 related questions
java-platform-module-system,Project Jigsaw aims to design and implement a standard module system for the Java SE platform. It was released as part of Java 9.
llvm-codegen,"Questions about how LLVM generates machine code from LLVM-IR or high-level languages. If you are asking about a specific CPU architecture, please also add that corresponding tag (e.g. `x86`)."
curl-commandline,Curl commandline is all about the commandline parameters those use to pass to the curl executable from the console.
cascade,"Cascade refers to a table-definition keyword in relational databases; it instructs the query engine to take a certain action (delete, update), when a primary key is modified, on tables linked by a foreign key."
mermaid,Mermaid is a markup language for generating diagrams and flowcharts.
dayjs,Day.js is an immutable date library for JavaScript
httpurlconnection,HttpURLConnection instance is used to make a single request but the underlying network connection to the HTTP server may be transparently shared by other instances.
microsoft-identity-platform,
date-format,`DateFormat` is a Java Standard Edition library class which provides utility methods to parse and format dates.
angular,"Questions about Angular (not to be confused with AngularJS), the web framework from Google. Use this tag for Angular questions which are not specific to an individual version. For the older AngularJS (1.x) web framework, use the AngularJS tag."
ad-management,
apache-commons-lang3,"Apache Commons Lang3 provides a number of helper classes for things that are deemed missing in the Java base libraries. This includes string handling, mathematics helpers, reflection helpers, concurrency and others. Version 3 is a backwards incompatible version update of the original Apache Commons Lang library."
find,This tag has multiple meanings.  Please DO NOT use this tag if you&#39;re just trying to find something.
synology,Synology Inc. is Network Attached Storage manufacturer. 
wear-os,Wear OS is an operating system extended from the Android platform that powers a new generation of wearable devices
dyld-insert-libraries,
microk8s,"MicroK8s, developed by Canonical, is a lightweight single-node cluster distribution of Kubernetes, that installs locally and is available on most Linux distributions."
passport-google-oauth2,
android-multiple-users,Questions regarding the particulars of the Android multiple users implementation.
spring-mvc-initbinders,
file-structure,
mismatch,Mismatch refers to a failure to correspond or match. This can be ambiguous. More-specific tags such as [type-mismatch] or [inputmismatchexception] may be more appropriate.
enzyme,"Unit test library for React. It is developed by Airbnb. It can be used with other JavaScript testing frameworks like Mocha, Jest, Karma, etc."
cv2,"THIS TAG IS PENDING REMOVAL. Instead, please use [opencv] and [python] tags. (More information: https://meta.stackoverflow.com/questions/385792) cv2 is the Python wrapper for the OpenCV image processing library."
webpack-4,Webpack is JavaScript module bundler. Webpack takes modules with dependencies and generates static assets representing those modules. Webpack&#39;s key features are rooted in extensibility and enabling developers to use best-practices in Web Architecture and Web Performance.
regex-alternation,Anything related to regular expressions alternation operation. An alternation operation in regular expressions syntax is a way of indicating two alternative patterns which can both match the subject string. In many regular expressions flavors (notably those derived from Perl syntax) the alternation is indicated by a vertical bar &quot;|&quot;.
vk,VK is the largest European social network with over a 100 million active users.
question-answering,"Question Answering is the computer task of mechanically answering questions posed in natural language.
(Please do not use this tag to indicate that you have a question and want an answer. That&#39;s already implied)."
vue-multiselect,
opencv-contrib,"OpenCV is an open source computer vision library, free for commercial and research use.

opencv-contrib is a repository containing extra OpenCV modules and contributed functionality."
redmi-permission,
date-fns,"date-fns is a JavaScript date/time library that provides a comprehensive, simple and consistent toolset for manipulating JavaScript dates in a browser and Node.js."
rsdriver,
windowinsets,"Insets of system views (e.g. status bar, navigation bar), that are applied to the window of activity."
weasyprint,WeasyPrint is a visual rendering engine for HTML and CSS that can export to PDF. It aims to support web standards for printing.
google-nearby,"Covers both Nearby APIs from Google. Messages is a publish-subscribe API for co-present iOS and Android devices to discover and communicate with each other, as well as beacons. Connections is a low-latency networking API for Android, powering use-cases such as: local multiplayer, collaborative whiteboards, and multi-screen gaming."
git-history,
downcast,Downcasting permits an object of a superclass type to be treated as an object of any subclass type.
modulenotfounderror,"In languages which import external libraries, such error might rise when the module being imported is not found in the system. Please add the relevant language tag"
const-correctness,
gulp,"Gulp is a JavaScript build system, Node.js-based task runner like Grunt. Gulp uses streams and code-over-configuration for a simpler and more intuitive build process."
precompiled-headers,A precompiled header is a header file that has statically compiled but still separate from its final executable in order to speed up compilation of dependent files.
azure-aks,questions about managed Kubernetes on Azure (AKS)
throttling,Throttling is a mechanism to regulate the rate at which processing is performed
textures,"Textures are series of images used in computer graphics to associate locations on a visible surface with varying values. This association is typically done by mapping locations on the texture (usually two-dimensional, but other dimensions and types of textures exist) to locations on the rendered surface. Filtering is often used to smooth away aliasing when sampling values from the texture, usually involving multiple images within a texture called mipmaps."
rowwise,
project-reactor,"Reactor is a foundational library building for reactive fast data applications on the JVM. It provides abstractions for Java, Groovy and other JVM languages to make building event and data-driven applications easier. It’s also really fast. 
"
react-stripe-elements,This tag is to use for any questions related to Stripe React components wrapping Stripe.js and Stripe Elements.
system-variable,
unsupported-class-version,"An UnsupportedClassVersionError is thrown when the Java Virtual Machine attempts to read a class file and determines that the major and minor version numbers in the file are not supported.

The canonical answer about what is UnupportedClassVersionError and how to fix it:
https://stackoverflow.com/questions/10382929/how-to-fix-java-lang-unsupportedclassversionerror-unsupported-major-minor-versi"
live-streaming,"Live Streaming is the action of streaming a media (video, audio or both) over the network in real time."
nvidia,"An American global technology company based in Santa Clara, California, best known for its graphics processors (GPUs)."
stm32f0,STM32 F0 are entry-level ARM Cortex-M0 MCUs from ST Microelectronics.
faster-rcnn,Faster-RCNN is a very common Regional Convolutional Neural Network architecture that detects and recognizes objects in images in a single forward pass
visualvm,"VisualVM is a visual tool integrating several commandline JDK tools and lightweight profiling capabilities. Designed for both production and development time use, it further enhances the capability of monitoring and performance analysis for the Java SE platform.
"
hangouts-chat,"Hangouts Chat supports team collaboration by providing chat rooms, threaded conversations within rooms, direct messages between users, and Bots."
gvfs,
popen3,"Open3 grants you access to stdin, stdout, stderr and a thread to wait the child process when running another program."
stripe-checkout,
eleventy,Eleventy is a static site generator. Use this tag for questions about pages generated with Eleventy or questions about using Eleventy.
maven-surefire-plugin,The Surefire Plugin is used during the test phase of the build lifecycle to execute the unit tests of an application. It is commonly used in continuous integration.
pydev,PyDev is an Eclipse plugin for Python development.
garmin,Garmin is a company which develops and sells products relating to Global Positioning System (GPS) systems.
hls.js,hls.js is a JavaScript library which implements an HTTP Live Streaming client
adafruit,Adafruit Industries is an open-source hardware company founded by Limor Fried in 2005.
spectre,"For questions regarding Spectre security vulnerability. Questions related to the CSS framework, Spectre.css, should use the [tag:spectre.css] tag."
minimum,Minimum refers to the value in a collection of values that is the least or smallest.
maven-javadoc-plugin,The Maven Javadoc Plugin uses the Javadoc tool to generate javadocs for the specified project.
triangulation,"Triangulation is either using angular measurements along a baseline to find the location of points, or splitting a polygon into triangles so that it can be rendered by a graphics library."
renderless-component,
play-billing-library,Anything specific to Google Play Billing library
vcl,"This tag is used for questions regarding the Visual Component Library used in Borland/CodeGear/Embarcadero Delphi and C++Builder products.

Do not confuse this with the Varnish Configuration Language (VCL).  Use the &quot;varnish-vcl&quot; tag for questions related to that product."
pam,"Pluggable authentication modules, a flexible framework for configuring authentication, most commonly the login component of Linux systems, but used in other components and operating systems."
scnlight,
ml,"A family of functional programming languages including SML, OCaml, and F#. For MACHINE-LEARNING use [machine-learning] tag PLEASE."
conditional-compilation,Compilation of certain parts of source code will be included/excluded. This can be often reached by pre processing the source code in some way. Including/Excluding parts of the source may be controlled by pre processor keywords.
mmap,mmap is a POSIX-compliant Unix system call that maps files or devices into memory.
vt-x,
configuration-files,Files that configure the initial settings for some computer programs.
strict-aliasing,"Strict aliasing is an assumption, made by the C or C++ compiler, that de-referencing pointers to objects of different types will never refer to the same memory location (i.e. they will not alias each other)."
null-terminated,"A string that ends with (and does not include) a &quot;null&quot; (ASCII 0) byte, as used by the C language"
node-webkit,NW.js (formerly node-webkit) is an app runtime based on Chromium and Node.js. You can write native apps in HTML and JavaScript with node-webkit. It also lets you call Node.js modules directly from the DOM and enables a new way of writing native applications with all Web technologies.
code-documentation,"Documentation that focuses on code itself, such as its function, correct use, expected output, relationship to other code as well as database and tables connections, and usage examples. "
sirishortcuts,Siri Shortcuts can be used to launch custom actions from third party apps using a user specified keyword with Siri.
subclass,A subclass is a class that derives or inherits from a parent (or super) class. Subclassing is used extensively in object-oriented programming (OOP).
iframe-app,
registry,"The Windows Registry is a database where configuration settings for hardware, software and the Windows operating system itself are saved."
prometheus,"The Prometheus monitoring system, including the server, alertmanager, push gateway, exporters, client libraries and other components."
android-collapsingtoolbarlayout,CollapsingToolbarLayout is a wrapper for Toolbar that provides several visual effects that are bind to the content scroll events.
amazon-kinesis-analytics,"Amazon Kinesis Data Analytics is the way to analyze streaming data, gain actionable insights, and respond in real time.  SQL users can query streaming data or build entire streaming applications using templates and an interactive SQL editor. Java developers can build streaming applications using open source Java libraries and AWS integrations to transform and analyze data in real-time."
preg-match,Regular expression pattern matching function for the PHP programming language
usecallback,
hex-editors,A hex editor is an editor that allows the user to manipulate a file on the bit level by displaying this file as its hexadecimal representation.
stereo-3d,"This tag should only be used for issues directly related to binocular graphical rendering. If you are not displaying different graphical images to the left and right eyes, do not use this tag."
spring-data-redis-reactive,
image-stitching,"References the process of combining, or stitching together, one or more images."
settext,The concept of assigning text to a UI element
tizen-wearable-sdk,Tizen SDK for Wearable allow developers to develop Gear Standalone and Gear Companion Applications.
n1ql,N1QL pronounced &quot;Nickel&quot; is Couchbase&#39;s next generation SQL like query language that allows for running queries for documented oriented databases. 
typescript-decorator,
z-index,z-index represents the order on the z-plane in which an element appears. An element with higher stack order is always in front of another element with lower stack order. It is available in most of the GUI frameworks (both Web and Desktop).
rasterio,Clean and fast and geospatial raster I/O for Python programmers who use Numpy
copy-webpack-plugin,
drc,Analysis of Dose-Response Curves.
ravendb5,
uniq,uniq is a Unix/POSIX/Linux utility to remove or filter duplicate lines from a sorted file. It is also the name of a method to remove duplicates from an array in Ruby.
kendo-grid,"The Kendo Grid is a Kendo widget that displays tabular data and offers rich support interacting with data, including paging, sorting, grouping, and selection. Grid is a powerful widget with many configuration options. It can be bound to local JSON data or to remote data using the Kendo DataSource component."
no-www,The process of eliminating the usage of WWW to prefix URLs.
edge-detection,Edge detection is a tool in computer vision used to find discontinuities (edges) in images or graphs. Use this tag when asking about finding and manipulating edges or edge interaction.
asset-pipeline,"The asset pipeline provides a framework to concatenate and minify or compress JavaScript and CSS assets. It also adds the ability to write these assets in other languages and pre-processors such as CoffeeScript, Sass and ERB."
googlesigninapi,
terminfo,Terminfo is a database of terminal capabilities use by applications that require information about the terminal&#39;s features.
vsix,A VSIX package is a .vsix file that contains one or more Visual Studio extensions (VS2010 onwards).
metal,Metal is a proprietary framework for GPU-accelerated advanced 3D graphics rendering and data-parallel computation workloads. Made by Apple. 
logminer,The Oracle database utility LogMiner is used to query redo log files via SQL to get information about activity in the database.  Include tags for oracle and tag for specific version of oracle.
stun,STUN stands for Session Traversal Utilities for NAT. It helps peers located behind NATs communicate with each other when they only have private IP addresses.
bson-ext,C extensions to accelerate the Ruby BSON serialization.
jnotify,Library that allows Java applications to listen to file system events
css-paged-media,"CSS Paged Media describes the page model that partitions a flow into pages. It defines the page model and paged media, adds functionality for pagination, page margins, page size and orientation, headers and footers, widows and orphans, and image orientation, enables page numbering and running headers/footers.
Use this tag for questions related CSS Paged Media questions, as described on the W3C page."
class-extensions,
listpreference,An Android class that represents a Preference that displays a list of entries as a dialog.
snowflake-pipe,
response.redirect,An ASP method that causes the browser to redirect the client to a different URL.
incognito-mode,&quot;Incognito mode&quot; is Google&#39;s name for the Privacy mode of the Google Chrome browser.
microsoft.ml,
c#-9.0,
extern-c,"`extern &quot;C&quot;` is used to indicate that C++ functions and variables should have C linkage instead of C++ linkage, allowing C and C++ modules to interact with each other.  The extern-c tag should only be used on C++ questions where the subject of discussion is the behaviour of declarations with &#39;extern &quot;C&quot;&#39;."
ipados,iPadOS is the operating system running on the Apple iPad. Use this tag only for questions specific to iPad OS. Use the [ios] tag in most cases. Use the related tags [objective-c] and [swift] for issues specific to those programming languages.
android-studio-3.6,For questions related to the usage and features that are specific to version 3.6 of Android Studio - the official IDE targeted at Android development. When using this tag also include the more generic [android-studio] tag. Do NOT use this tag for questions about programming for Android in general; instead use the [android] tag.
bit-manipulation,"The manipulation of individual bits. Operators used may include bitwise AND, OR, XOR, NOT, left-shift, and right-shift."
action-mailbox,
android-seekbar,A SeekBar is an extension of ProgressBar that adds a draggable thumb. The user can touch the thumb and drag left or right to set the current progress level or use the arrow keys.
excel-formula,"This tag is for Microsoft Excel questions where the question or answers are specifically about the structure, syntax, or output of an Excel formula."
hardware-acceleration,the use of computer hardware to perform some function faster than is possible in software running on the general-purpose CPU
service,A Service is a long-running executable that performs specific functions and which is designed not to require user intervention.
vega,"Vega is a visualization grammar, a declarative format for creating, saving and sharing visualization designs. 
"
okd,"OKD which stands for OpenShift Kubernetes Distribution is the open source upstream project for OpenShift, a distribution of Kubernetes for the enterprise developed by Red Hat. OKD was previously known as OpenShift Origin."
actions-on-google,"Actions on Google let you build for the Google Assistant.
"
catch2,Catch is a unit testing framework for C++ 
exists,"Exists is a keyword or function in many languages, especially in SQL.
"
